OBJID,RA,DEC,REDSHIFT,REDSHIFT_ERR,LOG_MASS,SFR,UMAG,GMAG,RMAG,IMAG,ZMAG,U_ABSMAG,G_ABSMAG,R_ABSMAG,I_ABSMAG,Z_ABSMAG,PETRO_R50,V_DISP,V_DISP_ERR,D4000,D4000_ERR,OII_FLUX,OII_FLUX_ERR,OIII_FLUX,OIII_FLUX_ERR,HBETA_FLUX,HBETA_FLUX_ERR,HALPHA_FLUX,HALPHA_FLUX_ERR,HDELTA_FLUX,HDELTA_FLUX_ERR,NII_FLUX,NII_FLUX_ERR,NaD_ABS_FLUX,LUMINOSITY_DISTANCE
587728905565503654,122.56423,38.233009,0.072871864,1.81606e-05,10.699246,0.0835191,17.889300,16.088100,15.345700,14.970000,14.767500,-18.727100,-20.487600,-21.234900,-21.593300,-21.783600,2.1013600,187.741,8.03402,1.90195,0.0300510,27.1773,6.63580,22.0168,3.53625,25.8365,3.71474,50.7426,4.22732,15.9751,3.74012,34.3742,3.63123,3.27448,1.01494e+27
587725817497845925,234.08218,57.518658,0.072618581,2.36334e-05,10.312270,0.0773199,18.539900,16.958800,16.228600,15.884100,15.601500,-18.079200,-19.612000,-20.343500,-20.669600,-20.939700,1.5065500,136.102,10.9249,1.72145,0.0455848,8.47158,6.05060,25.5108,3.24890,13.2925,2.74043,66.0003,3.30356,1.19718,3.27233,43.1252,3.07100,2.23656,1.01123e+27
588007005236428986,127.91092,49.824608,0.072277859,7.43012e-06,10.134525,2.12511,17.074500,16.047800,15.578300,15.415500,15.290900,-19.529100,-20.511500,-20.984200,-21.129000,-21.241200,3.1754400,22.7952,21.3675,1.27947,0.0196619,32.9485,3.02654,11.2018,1.61813,58.9899,2.00411,223.627,3.17465,11.0770,2.01414,76.7732,2.16043,1.24335,1.00625e+27
587735236879450369,116.81819,20.806843,0.16733612,4.10309e-05,11.075949,0.170113,19.335700,17.094200,16.358100,15.957900,15.799300,-19.212800,-21.418200,-22.160700,-22.544200,-22.690900,2.1553900,193.850,14.1073,1.86040,0.0605966,2.23240,2.45354,1.23084,2.53950,8.54458,5.25752,5.35294,4.70384,-3.14184,4.62950,3.10037,2.03497,2.68141,2.47864e+27
588007005245472903,157.82327,62.653347,0.19840316,2.41683e-05,10.933510,10.6022,18.297600,17.135300,16.600600,16.388500,16.142400,-20.678400,-21.792300,-22.328400,-22.522000,-22.755700,1.5125400,162.864,16.3301,1.33998,0.0217143,23.6979,4.54366,21.3546,2.79743,55.1703,3.48410,219.873,5.15844,11.6332,2.60609,111.729,4.13024,2.29563,2.99386e+27
587742611341443308,223.81995,14.018427,0.11054084,1.77901e-05,10.500980,1.69292,18.356500,16.880600,16.301000,16.142100,15.936500,-19.228500,-20.658600,-21.240700,-21.381300,-21.574300,2.5378000,116.204,16.3812,1.54572,0.0479162,11.9833,3.16129,6.30895,2.07002,19.5419,1.93161,74.0913,2.69800,1.24151,1.98619,37.0496,3.20279,2.35005,1.57941e+27
587731185662034127,348.51974,-0.53685242,0.11583995,4.01666e-05,10.730303,0.0805263,19.315700,17.225300,16.416200,16.058700,15.697100,-18.368800,-20.419700,-21.233900,-21.574100,-21.923600,1.3599900,184.699,12.7714,1.96139,0.0721763,0.459675,4.06056,0.711906,2.70177,3.66551,1.91728,1.76934,1.59648,1.26771,2.05573,0.422869,2.16450,3.52419,1.66090e+27
587739828210892989,236.71909,18.068251,0.046414167,7.60911e-06,9.3106165,0.987762,17.210000,16.350900,16.013600,15.951200,15.794100,-18.392300,-19.206900,-19.547300,-19.591700,-19.736200,1.1323100,70.4363,10.7293,1.06796,0.00746207,648.612,11.2562,1363.19,12.6756,497.965,6.20830,1453.45,12.5994,123.111,3.69511,184.735,3.08810,0.773287,6.34419e+26
587731512071291002,24.184757,-0.42154121,0.057263095,1.22227e-05,9.6469698,0.483276,18.125800,16.918200,16.410500,16.217500,15.972200,-17.952500,-19.113700,-19.623500,-19.798100,-20.030800,1.9117500,69.1751,17.4694,1.27766,0.0329325,19.4753,4.27791,10.0341,2.11327,36.5816,2.17457,135.180,2.68082,8.42387,2.31866,47.6880,1.91083,1.33117,7.88826e+26
588848899397976395,230.64766,-0.47606775,0.13147350,3.58166e-05,11.199659,2.28118,18.647700,16.604400,15.842300,15.486700,15.124400,-19.308500,-21.326200,-22.100400,-22.441600,-22.793300,1.9815200,282.988,14.7827,1.87744,0.0433732,-12.3256,6.39416,6.64491,3.79145,11.0599,5.43055,69.4359,7.85524,0.334736,5.19617,-14.9986,5.33659,3.64230,1.90424e+27
